year,geo,hh,house_disp,employ_hash_education,employ_total,employ_f,employ_m,not_employ_total,population,child_avg_allwk,child_avg_allnowk,child_avg
2004.0,SE,HHC_41,85.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,SE,HHC_42,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AT,HHC_21,94.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AT,HHC_22,467.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AT,HHC_31,179.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AT,HHC_32,192.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AT,HHC_41,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,AT,HHC_42,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BE,HHC_21,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BE,HHC_22,544.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BE,HHC_31,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BE,HHC_32,216.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BE,HHC_41,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BE,HHC_42,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BG,HHC_21,122.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BG,HHC_22,534.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BG,HHC_31,333.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BG,HHC_32,270.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BG,HHC_41,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,BG,HHC_42,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CY,HHC_21,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CY,HHC_22,499.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CY,HHC_31,161.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CY,HHC_32,213.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CY,HHC_41,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CY,HHC_42,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CZ,HHC_21,114.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CZ,HHC_22,552.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CZ,HHC_31,244.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CZ,HHC_32,240.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CZ,HHC_41,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,CZ,HHC_42,70.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DE,HHC_21,109.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DE,HHC_22,597.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DE,HHC_31,239.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DE,HHC_32,247.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DE,HHC_41,59.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DE,HHC_42,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DK,HHC_21,117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DK,HHC_22,663.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DK,HHC_31,275.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DK,HHC_32,273.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DK,HHC_41,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,DK,HHC_42,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EE,HHC_21,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EE,HHC_22,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
