year,geo,hh,population,house_disp,employ_hash_education,employ_total,not_employ_total,employ_f,employ_m,child_avg_allwk,child_avg_allnowk,child_avg
2006,EL,HHC_41,267.73333333333335,32.63333333333333,0,118.98749999999998,108.96666666666668,74.98260869565217,139.6428571428571,1.3333333333333333,1.3999999999999997,1.4
2007,EL,HHC_41,253.05925925925928,28.266666666666666,0,115.17605633802815,101.49629629629626,76.85454545454546,132.3816326530612,1.3999999999999997,1.3,1.4
2008,EL,HHC_41,240.49259259259256,30.433333333333326,0,111.15352112676058,94.25555555555555,75.15909090909089,127.31428571428575,1.3999999999999997,1.3999999999999997,1.4
2009,EL,HHC_41,245.65925925925927,29.46666666666667,0,108.7904109589041,98.46296296296295,78.99090909090908,121.64509803921567,1.3333333333333333,1.5,1.4
2010,EL,HHC_41,238.77037037037033,31.03333333333333,0,100.5835616438356,102.66296296296296,70.4608695652174,114.43999999999997,1.3333333333333333,1.5,1.4
2011,EL,HHC_41,241.97407407407405,34.1,0,94.04166666666669,116.44074074074072,67.82727272727271,105.57600000000001,1.3,1.3999999999999997,1.4
2012,EL,HHC_41,244.37777777777785,38.833333333333336,0,84.79027777777776,131.20740740740743,60.43181818181818,95.50799999999998,1.3,1.5,1.4
2013,EL,HHC_41,243.8703703703704,43.46666666666666,0,82.60428571428572,136.67037037037036,57.20454545454545,94.24583333333335,1.3666666666666665,1.3999999999999997,1.4
2014,EL,HHC_41,235.0037037037037,44.93333333333334,0,76.06621621621622,130.67407407407407,55.75217391304348,85.22745098039216,1.3333333333333333,1.3,1.3
2015,EL,HHC_41,220.0777777777778,44.699999999999996,0,74.56756756756756,117.8037037037037,53.24166666666665,84.804,1.2666666666666666,1.3999999999999997,1.3
2016,EL,HHC_41,216.24814814814815,44.166666666666664,0,77.47605633802817,114.23703703703704,54.147826086956506,88.65416666666665,1.2666666666666666,1.3999999999999997,1.3
2017,EL,HHC_41,214.86666666666667,43.6,0,77.92162162162164,107.97037037037036,56.162500000000016,88.36600000000003,1.3,1.3999999999999997,1.3
2018,EL,HHC_41,205.00370370370368,42.23333333333333,0,76.68194444444447,102.66666666666664,56.58181818181818,85.52600000000004,1.2333333333333334,1.3999999999999997,1.3
2019,EL,HHC_41,187.08888888888887,40.300000000000004,0,70.84931506849318,91.22592592592592,50.066666666666684,81.02857142857142,1.2333333333333334,1.3999999999999997,1.3
2020,EL,HHC_41,177.86296296296294,36.36666666666667,0,68.53749999999998,86.39999999999998,46.52916666666667,79.54166666666667,1.2333333333333334,1.3999999999999997,1.3
2021,EL,HHC_41,278.42962962962963,32.3,0,108.00540540540541,130.30740740740737,78.17272727272729,120.62692307692305,1.3333333333333333,1.5,1.4
2022,EL,HHC_41,249.08888888888887,35.1,0,95.71315789473682,114.37777777777775,66.87499999999999,109.02307692307694,1.5666666666666664,1.6000000000000003,1.4
